FILENAME:	2jh015_6.txt
TITLE:	AFC Filter 05 ZnS Test Piece Sample 2JH @ 15K, 2.6°i, In f/8 (CDCR 04865/04871, SMCR 02016)
FORMAL_COMMENT:	Astronomical Filter Consortium Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	31-Jan-2002
AUTHOR:	Richard Sherwood
CHANNEL:	05
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
1.429	1.74620
1.430	0.00328
1.431	-1.49862
1.432	-3.61184
1.433	-0.12377
1.434	-0.08716
1.435	0.63883
1.436	-0.58165
1.437	-1.25252
1.438	0.83198
1.439	0.77409
1.440	-0.07135
1.441	-0.57565
1.442	-0.96969
1.443	0.68748
1.444	-1.18334
1.445	0.12802
1.446	-1.81384
1.447	0.44307
1.448	0.33489
1.449	0.65505
1.450	1.44685
1.451	-0.95158
1.452	-1.46588
1.453	-1.67542
1.454	-0.82893
1.455	-1.60161
1.456	1.07437
1.457	0.35863
1.458	-0.69331
1.459	0.14862
1.460	0.87831
1.461	-1.60624
1.462	-0.29706
1.463	1.91802
1.464	1.23785
1.465	2.44163
1.466	0.96461
1.467	1.97256
1.468	1.32640
1.469	1.38370
1.470	0.32291
1.471	2.14439
1.472	2.27185
1.473	1.97754
1.474	0.48879
1.475	1.64450
1.476	0.35904
1.477	1.21673
1.478	2.69493
1.479	-0.64307
1.480	-0.29298
1.481	2.21516
1.482	0.60714
1.483	1.92685
1.484	0.24720
1.485	-0.48414
1.486	-0.01108
1.487	1.39829
1.488	0.26244
1.489	-0.43482
1.490	0.58747
1.491	-0.10973
1.492	-0.45809
1.493	-0.84958
1.494	-0.85032
1.495	2.76480
1.496	-2.51054
1.497	-0.28746
1.498	0.37804
1.499	0.58890
1.500	0.66544
1.501	-1.88553
1.502	-0.21727
1.503	0.38141
1.504	0.41455
1.505	1.08008
1.506	-0.53726
1.507	3.20511
1.508	0.11787
1.509	0.95394
1.510	-0.16145
1.511	0.32151
1.512	0.51763
1.513	-0.48780
1.514	4.03558
1.515	-1.01489
