FILENAME:	2b601514.txt
TITLE:	AFC Filter 04 ZnS Test Piece Sample 2B6 @ 15K, 2.6°i, In f/8 (CDCR 04794/04804, SMCR 01938)
FORMAL_COMMENT:	Astronomical Filter Consortium - Filter 04 (PAH1 +ArIII ref1) Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	07-Sep-2001
AUTHOR:	Richard Sherwood
CHANNEL:	04
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
1.429	0.48538
1.430	0.04769
1.431	-0.17116
1.432	-4.52106
1.433	-1.38745
1.434	0.88746
1.435	-0.69194
1.436	0.06436
1.437	1.52799
1.438	1.19736
1.439	1.23431
1.440	1.43520
1.441	0.86527
1.442	0.57575
1.443	-1.45429
1.444	-1.21810
1.445	-0.57478
1.446	0.90614
1.447	-0.20669
1.448	-0.58999
1.449	0.32923
1.450	-0.12091
1.451	-1.34504
1.452	1.55085
1.453	0.95263
1.454	0.47907
1.455	0.14732
1.456	0.52898
1.457	0.67830
1.458	0.94065
1.459	0.21790
1.460	0.50230
1.461	0.02737
1.462	0.92768
1.463	0.55967
1.464	1.96768
1.465	1.13655
1.466	-1.34114
1.467	-0.00965
1.468	0.35935
1.469	-0.92290
1.470	-0.09899
1.471	0.24358
1.472	0.96724
1.473	-2.10731
1.474	0.02686
1.475	-1.06908
1.476	-0.34335
1.477	0.27205
1.478	0.38043
1.479	0.20616
1.480	1.20566
1.481	0.44459
1.482	0.66437
1.483	-0.05746
1.484	-0.53712
1.485	0.16088
1.486	0.22420
1.487	1.09991
1.488	0.02667
1.489	0.44724
1.490	0.11624
1.491	1.25348
1.492	-0.39381
1.493	-0.02670
1.494	0.52123
1.495	-0.31869
1.496	1.26523
1.497	1.70089
1.498	0.71221
1.499	1.17848
1.500	-0.57308
1.501	-0.65583
1.502	0.90225
1.503	-0.76048
1.504	0.35868
1.505	0.32374
1.506	-0.52247
1.507	1.26217
1.508	0.11945
1.509	0.58608
1.510	0.59970
1.511	0.63638
1.512	0.45859
1.513	-0.59402
1.514	1.83487
1.515	0.50794
1.516	-0.39733
1.517	0.05794
1.518	-0.43027
1.519	-0.28978
1.520	2.21307
1.521	0.53729
1.522	1.47708
1.523	0.02457
1.524	0.91559
1.525	0.69416
1.526	0.94144
1.527	-0.07115
1.528	-0.97899
1.529	0.88004
1.530	0.91079
1.531	-0.74318
1.532	-0.28115
1.533	-0.61080
1.534	-0.16363
1.535	0.41447
1.536	0.14838
1.537	-0.69598
1.538	-0.36740
1.539	0.37028
1.540	1.40183
1.541	0.43607
1.542	-0.90131
1.543	0.27498
1.544	-1.21225
1.545	2.09648
1.546	1.83387
1.547	0.74827
1.548	0.29162
1.549	-0.77613
1.550	0.39653
1.551	0.58046
1.552	0.05594
1.553	0.02341
1.554	-0.10322
1.555	0.99024
1.556	1.40380
1.557	0.22540
1.558	0.19402
1.559	0.86251
1.560	0.46080
1.561	0.63158
1.562	0.70764
1.563	-0.84463
1.564	-0.73741
1.565	-0.13686
1.566	0.18812
1.567	-1.04022
1.568	0.49090
1.569	-0.35564
1.570	0.29654
1.571	0.51325
1.572	-0.44569
1.573	0.66762
1.574	-1.28827
1.575	-1.20180
1.576	-0.54143
1.577	-0.27956
1.578	0.67931
1.579	0.01652
1.580	-0.18516
1.581	0.18417
1.582	0.42593
1.583	0.26271
1.584	-0.06312
1.585	-0.88420
1.586	0.14123
1.587	-0.61088
1.588	0.32013
1.589	0.73457
1.590	-0.16683
1.591	0.02827
1.592	-0.33379
1.593	0.37864
1.594	-0.95185
1.595	0.42435
1.596	0.13976
1.597	0.78906
1.598	0.06025
1.599	0.03933
1.600	-0.68688
1.601	-0.54145
1.602	0.51345
1.603	0.30940
1.604	0.99058
1.605	-0.83556
1.606	0.43015
1.607	-0.57560
1.608	1.13008
1.609	0.81720
1.610	0.54900
1.611	0.44346
1.612	-0.68581
1.613	0.12938
1.614	-0.15132
1.615	0.30075
1.616	0.24924
1.617	0.03187
1.618	0.62815
1.619	-0.80609
1.620	0.38762
1.621	0.24029
1.622	-0.09120
1.623	0.61804
1.624	0.29197
1.625	0.34475
1.626	-0.83221
1.627	-0.40976
1.628	-0.03191
1.629	0.32791
1.630	-0.13076
1.631	0.16947
1.632	0.31371
1.633	-0.42773
1.634	0.04796
1.635	0.27102
1.636	0.22039
1.637	-0.20031
1.638	-0.62749
1.639	-0.12462
1.640	-0.14897
1.641	0.52264
1.642	0.34248
1.643	0.16094
1.644	0.78230
1.645	0.16068
1.646	0.50311
1.647	0.33650
1.648	-0.05430
1.649	-0.48941
1.650	-0.29925
1.651	-0.04724
1.652	-0.26581
1.653	0.16079
1.654	0.50009
1.655	0.20824
1.656	-0.09542
1.657	-0.48368
1.658	-0.36469
1.659	0.05607
1.660	0.16214
1.661	-0.29998
1.662	-0.18388
1.663	-0.22358
1.664	0.02200
