FILENAME:	2b901513.txt
TITLE:	AFC Filter 10 ZnS Test Piece Sample 2B9 @ 15K, 2.6°i, In f/8 (CDCR 04802/04806, SMCR 01941)
FORMAL_COMMENT:	Astronomical Filter Consortium - Filter 10 (PAH2) Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	13-Sep-2001
AUTHOR:	Richard Sherwood
CHANNEL:	10
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
1.429	0.25882
1.430	-0.80624
1.431	-0.41335
1.432	-1.10066
1.433	1.96068
1.434	1.98486
1.435	-1.95637
1.436	-1.02693
1.437	-0.56712
1.438	0.76208
1.439	1.07269
1.440	0.20673
1.441	1.24694
1.442	-0.13297
1.443	-0.33314
1.444	-0.08522
1.445	0.16550
1.446	1.23979
1.447	0.99789
1.448	0.23522
1.449	0.02640
1.450	-1.24349
1.451	-0.07061
1.452	-0.48989
1.453	0.95256
1.454	1.52931
1.455	-1.04631
1.456	1.32973
1.457	-0.37340
1.458	1.08281
1.459	-1.16231
1.460	0.51339
1.461	1.24050
1.462	0.32038
1.463	0.72722
1.464	1.05467
1.465	0.09321
1.466	0.56005
1.467	-0.29233
1.468	-0.60643
1.469	1.14635
1.470	0.83129
1.471	-1.40150
1.472	0.16158
1.473	-0.49984
1.474	-0.20337
1.475	-0.18167
1.476	0.74381
1.477	0.92583
1.478	0.15992
1.479	-0.22912
1.480	-1.29338
1.481	0.12165
1.482	0.95750
1.483	0.19272
1.484	0.40078
1.485	0.82050
1.486	-0.44465
1.487	1.13545
1.488	0.68992
1.489	-1.63246
1.490	0.00304
1.491	0.38650
1.492	-0.17880
1.493	0.09238
1.494	1.45959
1.495	-0.59285
1.496	-0.31675
1.497	0.85192
1.498	-0.07177
1.499	-0.46070
1.500	-0.09416
1.501	-0.80093
1.502	1.19254
1.503	0.04347
1.504	0.68529
1.505	0.85577
1.506	-0.38558
1.507	0.97336
1.508	-0.91647
1.509	-0.35071
1.510	-0.69018
1.511	-0.40709
1.512	-1.27664
1.513	-1.09102
1.514	-1.00397
1.515	0.18633
1.516	-0.30290
1.517	0.28754
1.518	0.44490
1.519	-0.21665
1.520	-0.31878
1.521	0.69922
1.522	0.75236
1.523	1.18098
1.524	0.10057
1.525	0.51809
1.526	0.84718
1.527	1.07633
1.528	0.35317
1.529	0.54195
1.530	0.12371
1.531	-0.41117
1.532	0.01352
1.533	1.20790
1.534	-0.11210
1.535	-0.69112
1.536	-1.27594
1.537	-0.03556
1.538	0.97115
1.539	0.08052
1.540	-0.34238
1.541	-0.24429
1.542	1.47281
1.543	-0.26819
1.544	-0.52549
1.545	-0.77199
1.546	0.33878
1.547	1.99722
1.548	-0.43117
1.549	0.51881
1.550	-0.27987
1.551	0.56053
1.552	0.46537
1.553	0.91659
1.554	0.48318
1.555	-0.22659
1.556	0.41284
1.557	0.09020
1.558	0.55689
1.559	1.22689
1.560	0.51983
1.561	1.15818
1.562	-0.02913
1.563	-0.38650
1.564	-0.46502
1.565	0.41249
1.566	0.11053
1.567	0.13349
1.568	0.09161
1.569	-1.02744
1.570	-0.03218
1.571	1.28318
1.572	-0.53665
1.573	0.42004
1.574	0.14080
1.575	0.18784
1.576	0.32829
1.577	0.03737
1.578	0.59297
1.579	1.00108
1.580	-0.04110
1.581	-0.00412
1.582	-0.33849
1.583	0.51577
1.584	1.39308
1.585	-0.56562
1.586	-0.21148
1.587	0.29729
1.588	-0.07169
1.589	-0.40048
1.590	0.25554
1.591	-0.18981
1.592	0.36550
1.593	0.31923
1.594	0.24256
1.595	0.65417
1.596	-1.12516
1.597	-0.53457
1.598	-0.09118
1.599	0.57457
1.600	0.72818
1.601	-0.43272
1.602	-0.61369
1.603	0.91928
1.604	1.34025
1.605	0.25507
1.606	-0.27113
1.607	-0.16774
1.608	0.11837
1.609	0.80959
1.610	-0.11831
1.611	0.43041
1.612	-0.10310
1.613	0.18407
1.614	0.55240
