FILENAME:	2bs01519.txt
TITLE:	AFC Filter 15 ZnSe Test Piece Sample 2B9 @ 15, 2.6°i, In f/8 (CDCR 04799/04807, SMCR 01945)
FORMAL_COMMENT:	Astronomical Filter Consortium - Filter 15 (Q1 sub Q-Band) Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	19-Sep-2001
AUTHOR:	Richard Sherwood
CHANNEL:	15
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
1.429	-1.22821
1.430	-0.79521
1.431	-0.85585
1.432	-0.05323
1.433	1.33244
1.434	0.52408
1.435	-0.04472
1.436	0.88899
1.437	0.63321
1.438	1.60412
1.439	0.04987
1.440	1.78198
1.441	0.95824
1.442	0.42899
1.443	-0.06894
1.444	2.18897
1.445	1.65661
1.446	0.44650
1.447	0.26692
1.448	1.15480
1.449	-0.31288
1.450	-0.21255
1.451	0.67077
1.452	-0.39575
1.453	-0.40886
1.454	0.33064
1.455	0.60718
1.456	0.42820
1.457	1.06455
1.458	0.90381
1.459	0.12810
1.460	-0.07698
1.461	-0.52666
1.462	-2.13032
1.463	-1.34684
1.464	0.57848
1.465	0.64244
1.466	-1.98441
1.467	0.23472
1.468	1.30567
1.469	0.23740
1.470	1.55718
1.471	0.74731
1.472	1.62045
1.473	-0.42644
1.474	-0.82265
1.475	-0.23025
1.476	-0.26387
1.477	0.21785
1.478	0.15667
1.479	0.43861
1.480	-0.17786
1.481	0.80526
1.482	1.13280
1.483	0.35653
1.484	0.73815
1.485	-0.26471
1.486	0.53999
1.487	-0.08331
1.488	-0.79593
1.489	-0.06046
1.490	-0.39818
1.491	-0.68606
1.492	-1.48574
1.493	0.80862
1.494	1.06274
1.495	-0.93078
1.496	-1.28175
1.497	1.85893
1.498	-0.52474
1.499	0.12969
1.500	-1.26761
1.501	0.61970
1.502	-0.90049
1.503	-0.38696
1.504	2.98898
1.505	0.24311
1.506	0.40813
1.507	0.52973
1.508	0.38810
1.509	-0.44456
1.510	-1.31156
1.511	0.85012
1.512	-0.29513
1.513	-0.03874
1.514	2.90132
1.515	0.60789
1.516	0.83970
1.517	1.83145
1.518	0.15893
1.519	0.66202
1.520	0.67844
1.521	-0.74914
1.522	1.13277
1.523	-0.33654
1.524	-0.35146
1.525	0.07068
1.526	-0.77360
1.527	-0.41651
1.528	1.21774
1.529	-1.76542
1.530	0.74724
1.531	-1.84339
1.532	0.82307
1.533	0.16628
1.534	-0.90690
1.535	-0.00752
1.536	0.40519
1.537	-0.38323
1.538	1.96723
1.539	-0.71342
1.540	-0.39026
1.541	-0.35514
1.542	0.37559
1.543	1.54233
1.544	-0.20859
1.545	0.10100
1.546	-0.29900
1.547	1.87420
1.548	1.49630
1.549	0.06450
1.550	-0.44867
1.551	0.27538
1.552	-0.29725
1.553	0.01993
1.554	0.46252
1.555	-0.71094
1.556	-0.79925
1.557	-0.59139
1.558	-0.50276
1.559	0.35506
1.560	-0.31551
1.561	1.08197
1.562	0.40392
1.563	-1.87839
1.564	-1.24007
1.565	-0.65216
1.566	2.04530
1.567	3.10986
1.568	0.96104
1.569	1.61919
1.570	-0.40820
1.571	0.66459
1.572	0.26429
1.573	-0.26657
1.574	-0.06920
1.575	-0.12020
1.576	-0.46311
1.577	-0.43835
1.578	0.93847
1.579	-1.49525
1.580	-1.31657
1.581	-0.45058
1.582	-0.20876
1.583	-0.18970
1.584	1.35598
1.585	0.71771
1.586	-1.03676
1.587	-0.86936
1.588	0.90196
1.589	0.34075
1.590	0.27077
1.591	-0.62721
1.592	-0.61336
1.593	0.83040
1.594	1.02930
1.595	0.92690
1.596	1.55135
1.597	0.76297
1.598	0.52578
1.599	-0.05910
1.600	-0.88773
1.601	0.60900
1.602	-0.12352
1.603	0.30575
1.604	-0.22087
1.605	-0.53965
1.606	0.50917
1.607	0.16015
1.608	-0.40926
1.609	-0.17467
1.610	0.82246
1.611	-0.42325
1.612	-0.03692
1.613	0.99811
1.614	-0.15832
1.615	-0.16618
1.616	0.45662
1.617	0.63488
1.618	0.15309
1.619	-0.26099
1.620	0.10075
1.621	-0.03144
1.622	0.02096
1.623	-0.30365
1.624	0.59139
1.625	-0.28021
1.626	0.30308
1.627	0.29805
1.628	0.51254
1.629	0.19791
1.630	-0.00707
1.631	0.01239
1.632	-0.24801
1.633	-0.58423
1.634	0.24738
1.635	0.33858
1.636	0.27485
1.637	0.31321
1.638	-0.09244
1.639	0.09326
1.640	-0.73992
1.641	-0.13150
1.642	-0.28113
1.643	0.10019
1.644	0.82925
1.645	0.33333
1.646	-0.09643
1.647	-0.08828
1.648	-0.13172
1.649	-0.23733
1.650	0.55578
1.651	-0.02111
1.652	0.20524
1.653	0.30524
1.654	0.47614
1.655	0.21743
1.656	-0.39879
1.657	-0.66902
1.658	-0.25728
1.659	-0.14554
1.660	0.49916
1.661	-0.06719
1.662	0.54005
1.663	0.40931
1.664	-0.07689
1.665	-0.14918
1.666	-0.75575
1.667	-0.01745
1.668	-0.21393
1.669	0.44045
1.670	-0.55465
1.671	0.17502
1.672	0.10969
1.673	0.34439
1.674	0.34174
1.675	0.08934
1.676	0.33832
1.677	-0.21991
1.678	0.06706
1.679	0.43337
1.680	-0.22166
1.681	0.02290
1.682	-0.20613
1.683	0.14635
1.684	-0.41482
1.685	0.53728
1.686	0.38055
1.687	0.64814
1.688	-0.00344
1.689	-0.14149
1.690	0.21327
1.691	0.32697
1.692	-0.02397
1.693	-0.15196
1.694	0.11494
1.695	0.20385
1.696	-0.05796
1.697	-0.07936
1.698	0.04803
1.699	0.42753
1.700	-0.49176
1.701	0.17141
1.702	-0.17794
1.703	0.01344
1.704	0.15682
1.705	0.29601
1.706	0.02053
1.707	-0.00647
1.708	0.09849
1.709	0.14872
1.710	0.51359
1.711	0.34772
1.712	0.05331
1.713	-0.02477
1.714	0.18238
1.715	-0.03531
1.716	-0.14579
1.717	-0.04456
1.718	-0.11658
1.719	-0.01963
1.720	-0.18378
1.721	0.38622
1.722	0.34286
1.723	0.13402
1.724	-0.24711
1.725	0.18811
1.726	-0.03075
