The University of Reading, Infrared Multilayer Laboratory
http://www.cyber.rdg.ac.uk/irfilters/
---------------------------------------------------------
FILENAME:	2ng015_8.txt
TITLE: 	AFC Filter 22 CdTe S29 Sample 2F8 @ 15K, 2.6°I, In f/8 (CDCR 04928/04959, SMCR 02117)
CREATION_DATE:	13-Aug-2003
AUTHOR:	Richard Sherwood
TEMPERATURE:	15K
ANGLE:	0°
DATA:
1.429	0.67451
1.430	2.57611
1.431	-0.09815
1.432	0.12351
1.433	-0.21481
1.434	-0.14609
1.435	-0.16037
1.436	-0.13081
1.437	0.29856
1.438	0.13699
1.439	-0.09344
1.440	-0.03876
1.441	-0.47980
1.442	-0.05813
1.443	0.19806
1.444	0.13843
1.445	-0.05003
1.446	-0.21710
1.447	0.30266
1.448	0.31600
1.449	0.40965
1.450	0.12621
1.451	0.45225
1.452	0.34708
1.453	0.88056
1.454	-0.05550
1.455	0.43612
1.456	-0.43315
1.457	0.45857
1.458	0.11238
1.459	-0.17545
1.460	0.07403
1.461	-0.02721
1.462	-2.36434
1.463	-0.32128
1.464	0.34651
1.465	0.04618
1.466	0.25959
1.467	0.32527
1.468	0.49640
1.469	0.77451
1.470	0.37641
1.471	0.17980
1.472	0.12231
1.473	0.27578
1.474	-0.35298
1.475	0.17688
1.476	0.61808
1.477	-0.08123
1.478	0.49630
1.479	0.13312
1.480	-0.12350
1.481	0.71884
1.482	0.36134
1.483	0.18892
1.484	0.05906
1.485	-0.03446
1.486	-0.20930
1.487	0.43011
1.488	0.31731
1.489	0.16587
1.490	-0.42212
1.491	0.88839
1.492	-0.07157
1.493	0.12293
1.494	0.08163
1.495	-1.85182
1.496	-0.16485
1.497	-0.25094
1.498	-0.77546
1.499	1.15474
1.500	0.74219
1.501	0.67916
1.502	0.50098
1.503	0.13323
1.504	0.13955
1.505	-0.08735
1.506	0.32218
1.507	0.10150
1.508	-0.23099
1.509	-0.03180
1.510	-0.05985
1.511	-0.36679
1.512	0.26811
1.513	0.43753
1.514	-0.01114
1.515	0.63352
1.516	0.00832
1.517	-0.18643
1.518	0.06081
1.519	0.01530
1.520	0.33857
1.521	0.17607
1.522	-0.09371
1.523	-0.14372
1.524	0.54858
1.525	-0.00451
1.526	0.26573
1.527	0.05910
1.528	-0.00024
1.529	0.08072
1.530	1.08508
1.531	-0.03081
1.532	0.37149
1.533	0.22132
1.534	-0.21230
1.535	0.46457
1.536	-0.08781
1.537	0.40178
1.538	-0.09191
1.539	0.65464
1.540	0.08520
1.541	-0.36406
1.542	-0.11523
1.543	0.02871
1.544	0.21374
1.545	0.08326
1.546	0.36155
1.547	0.48831
1.548	-0.24077
1.549	0.03578
1.550	0.11227
1.551	-0.02991
1.552	0.01605
1.553	0.30470
1.554	0.70854
1.555	-0.04343
1.556	0.36800
1.557	-0.24087
1.558	-0.37878
1.559	0.41786
1.560	0.16752
1.561	0.22378
1.562	-0.14726
1.563	0.06919
1.564	-0.55680
1.565	-0.35258
1.566	-1.11864
1.567	1.37018
1.568	0.43496
1.569	0.35639
1.570	1.48042
1.571	-0.43553
1.572	-0.26316
1.573	-0.35944
1.574	0.06225
1.575	-0.17919
1.576	0.22954
1.577	0.36064
1.578	-0.00821
1.579	0.24033
1.580	-0.49663
1.581	-0.51380
1.582	0.30586
1.583	-0.12616
1.584	-0.27581
1.585	-0.10896
1.586	-0.02830
1.587	0.01544
1.588	-0.13521
1.589	0.22129
1.590	0.26630
1.591	0.35104
1.592	0.25765
1.593	-0.14289
1.594	0.08999
1.595	0.14882
1.596	0.22323
1.597	-0.17211
1.598	-0.01402
1.599	0.01215
1.600	-0.00513
1.601	0.16421
1.602	-0.13565
1.603	-0.34860
1.604	-0.34856
1.605	0.96554
1.606	0.26073
1.607	0.29648
1.608	0.23488
1.609	0.18003
1.610	0.14344
1.611	0.27826
1.612	0.09928
1.613	-0.04046
1.614	0.14098
1.615	0.24402
1.616	0.13977
1.617	0.24488
1.618	0.09821
1.619	-0.02674
1.620	0.21321
1.621	0.02884
1.622	0.21154
1.623	-0.03557
1.624	-0.11303
1.625	0.14912
1.626	0.18594
1.627	0.26275
1.628	-0.14264
1.629	0.04276
1.630	0.05379
1.631	-0.05708
1.632	0.17225
1.633	-0.00110
1.634	-0.03696
1.635	0.11607
1.636	0.00105
1.637	-0.07002
1.638	0.14049
1.639	0.20144
1.640	0.01072
1.641	0.29887
1.642	0.36907
1.643	0.15994
1.644	0.51101
1.645	-0.71246
1.646	-0.25496
1.647	-0.13418
1.648	-0.35372
1.649	-0.12229
1.650	-0.19297
1.651	0.02598
1.652	-0.02335
1.653	-0.05169
1.654	0.00067
1.655	0.00638
1.656	-0.05322
1.657	0.05165
1.658	-0.12897
1.659	0.07826
1.660	0.15202
1.661	-0.13722
1.662	-0.02167
1.663	-0.03339
1.664	-0.08816
1.665	0.13021
1.666	-0.02749
1.667	-0.07288
1.668	0.14465
1.669	0.12627
1.670	0.13936
1.671	0.16408
1.672	-0.11654
1.673	0.10441
1.674	0.10858
1.675	-0.06188
1.676	-0.02309
1.677	0.08872
1.678	0.17703
1.679	0.09820
1.680	0.07037
1.681	0.20974
1.682	0.09859
1.683	0.07082
1.684	0.13532
1.685	0.20488
