FILENAME:	2br015_8.txt
TITLE:	AFC Filter 14 ZnSe Test Piece Sample 2BR @ 15K, 2.6°i, In f/8 (CDCR 04848/04849, SMCR 01987)
FORMAL_COMMENT:	Astronomical Filter Consortium - Filter 14 (QH2) Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	30-Nov-2001
AUTHOR:	Richard Sherwood
CHANNEL:	14
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
1.429	2.75786
1.430	-1.56728
1.431	1.37916
1.432	1.89904
1.433	2.81036
1.434	0.89822
1.435	0.23094
1.436	1.34125
1.437	-1.67125
1.438	0.59793
1.439	1.15713
1.440	-3.39559
1.441	-0.99069
1.442	1.23600
1.443	1.93839
1.444	1.02275
1.445	0.40281
1.446	2.14410
1.447	0.07435
1.448	0.46238
1.449	-0.21324
1.450	-0.43178
1.451	0.38040
1.452	0.84063
1.453	0.72960
1.454	1.74317
1.455	-0.10731
1.456	-0.54534
1.457	2.11429
1.458	0.18742
1.459	1.69080
1.460	1.42531
1.461	2.77046
1.462	-0.58779
1.463	1.38770
1.464	0.74070
1.465	1.33540
1.466	0.21753
1.467	0.94280
1.468	0.16282
1.469	0.27209
1.470	0.75383
1.471	0.99880
1.472	1.90340
1.473	0.36349
1.474	1.56956
1.475	0.22195
1.476	-1.06271
1.477	0.14848
1.478	0.56386
1.479	-0.52606
1.480	-1.07548
1.481	-0.02030
1.482	-0.22329
1.483	-1.28100
1.484	-0.01518
1.485	0.25822
1.486	0.40435
1.487	2.06691
1.488	-0.18141
1.489	-0.19316
1.490	-0.67939
1.491	0.66092
1.492	0.36264
1.493	0.10393
1.494	0.45296
1.495	0.93071
1.496	0.56584
1.497	0.21341
1.498	-0.75063
1.499	0.39770
1.500	1.52111
1.501	-2.21883
1.502	0.01081
1.503	1.63113
1.504	-1.40679
1.505	-0.00055
1.506	0.16122
1.507	-0.93365
1.508	-0.55306
1.509	0.16554
1.510	0.25673
1.511	-0.53516
1.512	0.56560
1.513	-0.17866
1.514	0.14026
1.515	0.77882
1.516	0.41322
1.517	1.33358
1.518	-0.24262
1.519	-0.18199
