FILENAME:	36b03015.txt
TITLE:	CanariCam Q-Wide CdTe Sample 36B @ 30K, 3°I, T% (CDCR 05096/05102, SMCR 02266)
FORMAL_COMMENT:	CanariCam Q-Wide Filter
CREATION_DATE:	03-Jul-2003
RUN_DATE:	02-Jul-2003
AUTHOR:	Richard Sherwood
CHANNEL:	Q-WIDE
CHANNEL_VERSION:	n/a
MODEL:	Window
TEMPERATURE:	30K
ANGLE:	3°
FNUMBER:	f/8
DATA:
1.429	0.22744
1.430	1.56750
1.431	-0.50240
1.432	-0.41156
1.433	-0.41558
1.434	-0.25669
1.435	0.25763
1.436	0.51948
1.437	0.27135
1.438	0.72080
1.439	-0.25440
1.440	-0.17458
1.441	0.04180
1.442	-0.05024
1.443	-0.51217
1.444	-0.66187
1.445	0.56780
1.446	0.04458
1.447	-0.33101
1.448	0.29263
1.449	0.15348
1.450	0.42608
1.451	0.59943
1.452	0.30202
1.453	1.03009
1.454	0.74878
1.455	0.79553
1.456	0.57245
1.457	0.08108
1.458	0.09555
1.459	0.27819
1.460	-0.14315
1.461	0.36250
1.462	-0.82572
1.463	0.41599
1.464	0.60846
1.465	0.33964
1.466	0.85271
1.467	0.36056
1.468	0.89644
1.469	0.60460
1.470	1.42115
1.471	0.27359
1.472	0.48081
1.473	0.81509
1.474	0.60914
1.475	1.06010
1.476	0.95053
1.477	-0.12316
1.478	0.56744
1.479	0.60958
1.480	0.54722
1.481	0.64681
1.482	0.09916
1.483	0.38663
1.484	0.54981
1.485	0.50868
1.486	0.46874
1.487	0.07882
1.488	0.50277
1.489	0.76791
1.490	0.67528
1.491	0.19399
1.492	0.34976
1.493	0.23394
1.494	0.86914
1.495	-1.57307
1.496	-0.95777
1.497	-0.38460
1.498	-0.32129
1.499	0.60906
1.500	0.65555
1.501	0.04421
1.502	-0.04027
1.503	0.29757
1.504	-0.06507
1.505	0.03969
1.506	-0.01692
1.507	-0.40815
1.508	0.04171
1.509	0.38073
1.510	0.05960
1.511	0.15427
1.512	0.18282
1.513	-0.43191
1.514	-0.78036
1.515	0.37638
1.516	0.00489
1.517	-0.27788
1.518	0.30401
1.519	-0.03450
1.520	-0.44213
1.521	-0.43264
1.522	0.02323
1.523	0.82489
1.524	0.10602
1.525	-0.18233
1.526	-0.07248
1.527	-0.00794
1.528	0.53829
1.529	0.93230
1.530	0.14348
1.531	-0.15255
1.532	0.33359
1.533	-0.04795
1.534	0.10480
1.535	0.43634
1.536	0.13881
1.537	-0.19516
1.538	0.36362
1.539	-0.28301
1.540	-0.16173
1.541	0.27409
1.542	-0.15310
1.543	0.95100
1.544	0.45224
1.545	-0.11494
1.546	0.13441
