# trecs_fQa.dat
# Transmission curve for T-ReCS Qa 18.3 um filter
# Columns are (1) wavelength in nm, (2) transmission.
#
# No blocking element needed.
# Measurement temperature = 25K
#
# Author: James De Buizer, digitized from info from U. Reading
# Created: 2003 Apr 9
#
# Effective wavelength
18.295
#
# lambda  filtn

17.259   0.0062
17.354   0.0227
17.401   0.0496
17.441   0.0848
17.481   0.1345
17.529   0.2505
17.594   0.3871
17.651   0.5072
17.683   0.5445
17.725   0.5693
17.782   0.5838
17.832   0.5879
17.933   0.6004
18.052   0.6314
18.129   0.6459
18.251   0.6521
18.374   0.6459
18.543   0.6376
18.607   0.6356
18.716   0.6314
18.827   0.6149
18.892   0.5817
18.939   0.5362
18.996   0.4741
19.053   0.3830
19.110   0.2877
19.158   0.1966
19.216   0.1221
19.274   0.0786
19.343   0.0434
19.402   0.0227
19.481   0.0124
19.591   0.0062
19.703   0.0020
