FILENAME:	2jb01518.txt
TITLE:	AFC Filter 08 ZnS Test Piece Sample 2JB @ 15K, 2.6°i, In f/8 (CDCR 04856/04858, SMCR 01996)
FORMAL_COMMENT:	Astronomical Filter Consortium - Filter 08 (SIV) Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	19-Dec-2001
AUTHOR:	Richard Sherwood
CHANNEL:	08
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
1.429	0.57936
1.430	1.67807
1.431	1.01743
1.432	0.57830
1.433	-1.18156
1.434	1.35372
1.435	0.81791
1.436	0.21773
1.437	-0.97920
1.438	-1.71784
1.439	-0.00729
1.440	-0.98384
1.441	1.38390
1.442	1.45428
1.443	-1.15780
1.444	-0.19220
1.445	-1.68039
1.446	2.59614
1.447	-0.11464
1.448	1.53776
1.449	1.61880
1.450	0.99042
1.451	-0.43215
1.452	0.39654
1.453	-0.44524
1.454	0.31811
1.455	1.33907
1.456	-0.30825
1.457	-0.72845
1.458	0.34182
1.459	0.33561
1.460	-0.22836
1.461	-2.09549
1.462	3.66536
1.463	0.34285
1.464	2.58630
1.465	-0.17260
1.466	0.47128
1.467	0.63614
1.468	3.44586
1.469	0.54103
1.470	1.36504
1.471	0.92885
1.472	1.10413
1.473	0.80697
1.474	-0.16326
1.475	1.00806
1.476	-0.00863
1.477	1.78910
1.478	0.49048
1.479	1.18754
1.480	1.22047
1.481	1.78281
1.482	2.26415
1.483	0.13100
1.484	-0.18176
1.485	0.09006
1.486	0.88528
1.487	1.40285
1.488	0.75153
1.489	-0.00921
1.490	-0.57618
1.491	-0.00298
1.492	-0.88352
1.493	0.82341
1.494	-0.66752
1.495	-0.25996
1.496	-2.93454
1.497	0.17170
1.498	0.54186
1.499	-1.54771
1.500	0.29327
1.501	0.78865
1.502	0.13928
1.503	1.44917
1.504	-0.38089
1.505	2.05348
1.506	1.24447
1.507	3.27389
1.508	-1.76347
1.509	-0.73458
1.510	-0.39339
1.511	1.24585
1.512	0.05122
1.513	-1.45855
1.514	3.14819
1.515	-0.54028
1.516	-0.79184
1.517	-0.09877
1.518	0.44502
1.519	1.09290
1.520	-0.11831
1.521	0.56579
1.522	0.63831
1.523	-0.38089
1.524	-0.39750
1.525	-1.78787
1.526	1.07729
1.527	-0.05085
1.528	0.11034
1.529	-0.67902
1.530	-2.36806
1.531	0.61033
1.532	-0.02574
1.533	0.39097
1.534	0.26450
1.535	0.91654
1.536	0.38409
1.537	0.90852
1.538	1.87449
1.539	-0.55002
1.540	-2.26985
1.541	-0.42454
1.542	0.33533
1.543	0.54387
1.544	1.88748
1.545	0.57233
1.546	-0.43386
1.547	-1.58358
1.548	0.15404
1.549	-0.51531
1.550	-0.40891
1.551	0.46180
