FILENAME:	2bg015_6.txt
TITLE:	AFC Filter 02 ZnS Test Piece Sample 2BG @ 15K, 2.6°i, In f/8 (CDCR 04739/04744, SMCR 01880)
FORMAL_COMMENT:	Astronomical Filter Consortium - Filter 02 (SiC) Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	26-Jun-2001
AUTHOR:	Richard Sherwood
CHANNEL:	02
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
1.429	0.47861
1.430	-0.97184
1.431	-1.49984
1.432	0.52526
1.433	1.64590
1.434	-0.97242
1.435	1.14151
1.436	-0.13472
1.437	1.18761
1.438	0.72238
1.439	-0.95131
1.440	-0.41163
1.441	-0.64308
1.442	-0.40303
1.443	-0.26721
1.444	0.62133
1.445	-1.08936
1.446	-1.39553
1.447	0.66683
1.448	0.54687
1.449	0.56493
1.450	1.30330
1.451	0.59237
1.452	1.03902
1.453	0.40118
1.454	1.50841
1.455	0.07623
1.456	1.91979
1.457	2.44127
1.458	-0.99501
1.459	-0.89841
1.460	-0.34321
1.461	-0.64390
1.462	-6.20887
1.463	-0.21897
1.464	2.95066
1.465	1.13585
1.466	2.69635
1.467	2.52146
1.468	1.38065
1.469	0.82237
1.470	1.66061
1.471	2.83879
1.472	1.55525
1.473	-0.06603
1.474	1.35400
1.475	0.40898
1.476	1.58771
1.477	0.98336
1.478	1.44556
1.479	1.33993
1.480	3.09373
1.481	0.62401
1.482	0.86611
1.483	0.48214
1.484	-0.02602
1.485	-0.29127
1.486	0.73360
1.487	0.62715
1.488	-1.56468
1.489	1.78060
1.490	-0.94833
1.491	1.91791
1.492	-0.17243
1.493	-0.16029
1.494	1.46082
1.495	3.56489
1.496	-0.10004
1.497	0.17547
1.498	-0.80677
1.499	-0.33386
1.500	1.29458
1.501	0.49700
1.502	-1.35492
1.503	-0.55481
1.504	-1.00130
1.505	-0.15965
1.506	-0.26399
1.507	-0.45552
1.508	-0.46168
1.509	0.66691
1.510	-0.12774
1.511	2.36951
1.512	1.00201
1.513	0.92903
1.514	-1.97935
1.515	-1.56334
1.516	0.08687
1.517	2.21690
1.518	-0.20849
1.519	-1.55745
1.520	0.60426
1.521	-0.48805
1.522	0.06791
1.523	0.56302
1.524	-0.46004
1.525	0.26855
1.526	-0.41661
1.527	1.42673
1.528	1.15602
1.529	1.48437
1.530	3.12767
1.531	-2.79365
1.532	-0.78760
1.533	0.10727
1.534	-0.56071
1.535	0.27281
1.536	0.73793
1.537	0.91925
1.538	-0.41000
1.539	-0.84913
1.540	0.83120
1.541	0.05235
1.542	-0.21893
1.543	-0.54280
1.544	0.13062
1.545	0.06106
1.546	-0.54794
1.547	0.92318
1.548	-0.51820
1.549	1.73638
1.550	1.52412
1.551	-0.35259
1.552	0.05188
1.553	0.18656
1.554	0.24247
1.555	-0.26635
1.556	0.76150
1.557	1.93347
1.558	0.38707
1.559	0.26510
1.560	-0.05133
1.561	1.15361
1.562	-1.15990
1.563	0.20313
1.564	0.95963
1.565	-0.04934
1.566	2.15878
1.567	0.23843
1.568	0.29179
1.569	0.89768
1.570	-1.19669
1.571	0.36334
1.572	0.81522
1.573	0.33886
1.574	-1.02075
1.575	-0.53170
1.576	0.69240
1.577	0.94532
1.578	-0.09408
1.579	1.19580
1.580	-0.21864
1.581	-0.29159
1.582	0.16257
1.583	0.35079
1.584	1.33999
1.585	0.25243
1.586	-1.07658
1.587	0.05731
1.588	0.23976
1.589	-0.17851
1.590	0.05765
1.591	0.79692
1.592	-0.83106
1.593	0.86901
1.594	0.86412
1.595	0.45551
1.596	0.71135
1.597	-0.89723
1.598	0.82087
1.599	-0.38777
1.600	0.06931
1.601	-0.53959
1.602	0.50094
1.603	0.59577
1.604	-1.13941
1.605	2.03708
1.606	0.36986
1.607	-0.09344
1.608	-0.12646
