#OH LINES: VACUUM WAVELENGTHS from KPNO FTS (Chamberlain; Hubbard & Brault)
#
#lambda   sky   lab
#			
1.08312  0.40               
1.08993  0.10               
1.09273  0.24               
1.09523  0.10               
1.09763  0.35               
1.10103  0.10               
1.10303  0.28               
1.10733  0.05               
1.10903  0.15               
1.11413  0.02               
1.11563  0.05               
1.13134  0.12               
1.13314  0.15               
1.13544  0.10               
1.14364  0.40               
1.15395  0.32               
1.15665  0.02               
1.15925  0.35               
1.16285  0.12               
1.16515  0.30               
1.16965  0.08               
1.17165  0.20               
1.17715  0.04               
1.17875  0.08               
1.18646  0.02               
1.20016  0.12               
1.20076  0.20               
1.20256  0.18               
1.20316  0.24               
1.20559  0.07  0.09         
1.21226  0.54  0.34         
1.21359  0.20  0.16         
1.21550  0.05  0.07         
1.21964  0.11  0.13         
1.22293  0.40  0.30         
1.22578  0.18  0.21         
1.22870  0.46  0.41         
1.23259  0.17  0.38         
1.23516  0.30  0.41         
1.24009  0.11  0.20         
1.24230  0.19  0.37         
1.24827  0.04  0.13         
1.25024  0.09  0.25         
1.25891  0.05  0.15         
1.27528  0.15  0.30         
1.27644  0.21  0.34         
1.27825  0.24  0.47         
1.28070  0.23  0.39         
1.28346  0.08  0.20         
1.29057  0.57  0.94         
1.29212  0.17  0.42         
1.29431  0.09  0.22         
1.29857  0.15  0.29         
1.30216  0.32  0.77         
1.30528  0.21  0.49         
1.30852  0.39  1.11         
1.31278  0.18  1.07         
1.31567  0.19  1.11         
1.32110  0.10  0.47         
1.32366  0.27  0.88         
1.33019  0.01  0.32         
1.33247  0.04  0.55         
1.34208  0.06  0.31         
1.36749   -    0.32         
1.36772   -    0.36         
1.36921   -    0.36         
1.37168   -    0.36         
1.38237   -    0.47         
1.39510   -    0.37         
1.39859  0.05  0.25         
1.40222  0.15  0.58         
1.40446   -    0.55         
1.40588   -    0.43         
1.40698   -    0.32         
1.40867  0.10  1.35         
1.41027  0.05  0.58         
1.41070  0.05  0.77         
1.41340  0.18  2.01         
1.41629  0.22  0.22         
1.41861  0.20  1.96         
1.41929   -    0.45         
1.42272   -    0.93         
1.42929  0.07  0.32         
1.43420   -    0.67         
1.43444  0.30  3.42         
1.43567   -    1.78         
1.43744   -    0.69         
1.44691   -    1.35         
1.45190  0.60  3.26         
1.45640  0.35  1.97  
1.46048  0.35  4.07  
1.46651  0.14  1.85  
1.46984  0.35  3.43  
1.47022   -    0.52  
1.47133   -    0.33  
1.47400  0.10  1.18  
1.47556  0.05  0.74  
1.47724  0.15  1.30  
1.47837  0.15  2.18  
1.47998  0.30  2.26  
1.48057  0.26  1.25  
1.48330  0.62  3.10  
1.48644  0.20  3.30  
1.48862   -    0.73  
1.48877  0.78  2.98  
1.49091  0.10  1.18  
1.49319  0.26  1.45  
1.50067   -    0.34  
1.50261   -    0.51  
1.50528   -    0.99  
1.50555  1.95  6.45  
1.50640    -   0.33  
1.50689  0.66  2.67  
1.50882  0.23  1.08  
1.51137  0.10  0.39  
1.51870  0.38  1.98  
1.52410  1.41  4.65  
1.52878  0.58  2.93  
1.53324  1.15  5.91  
1.53953  0.40  2.73  
1.54321  1.08  5.03  
1.54621  0.10  0.44  
1.54744    -   0.31  
1.55008  0.20  0.97  
1.55098  0.25  1.96  
1.55179  0.20  0.59  
1.55404  0.55  3.35  
1.55462    -   1.73  
1.55702  0.15  1.00  
1.55977  0.70  2.43  
1.56313    -   1.12  
1.56316  0.35  2.56  
1.56550  1.05  2.30  
1.56570   -    1.81  
1.57025  0.28  1.12  
1.57603  0.10  0.53  
1.57821  0.15  0.82  
1.58303   -    0.75  
1.58332  2.30  4.89  
1.58481  0.90  2.08  
1.58693  0.25  0.87  
1.58973  0.10  0.33  
1.59159   -    0.31  
1.59726  0.50  1.55  
1.60308  1.53  3.67  
1.60798  0.65  2.31  
1.61286  1.71  4.74  
1.61947  0.63  2.16  
1.62354  1.27  4.11  
1.63172  0.28  1.64  
1.63418  0.12  0.60  
1.63513  0.65  2.83  
1.63604  0.10  0.38  
1.63885  0.25  1.06  
1.64147  0.20  0.62  
1.64421   -    1.43  
1.64476  0.70  0.98  
1.64764   -    1.58  
1.64790  0.50  1.55  
1.65023  0.75  1.35  
1.65539  0.30  0.65  
1.65863   -    0.49  
1.66110  0.10  0.75  
1.66892   -    0.44  
1.66921  2.30  2.88  
