##########################
# QE information for GMOS instruments

# Spectroscopy: EEV and Hamamatsu CCDs only
# Imaging: Hamamatsu CCDs only

##########################
# Factors for GMOS-S Hamamatsu detectors derived by German Gimeno in Oct 2014.
# Factors for GMOS-N Hamamatsu derived by Julia Scharwaechter in July 2017.

# Factors for both GMOS-N and GMOS-S EEV detectors taken from Bryan Miller's
# python QE scripts Documentation about how they were determined is required. 

# The CCDNAME stored in this file has any spaces (" ") replaced with underscores ("_") which is handled
# within the GQECORR code. This is done so the information can easily be parsed and verified.

##########################
# Spectroscopy

# Column information:
# CCDNAME | CCD# | coefficient_order | VALUE | INSTRUMENT | DETTYPE | DETECTOR | MODE | CORRECTION

####
# GMOS-N

# EEV Detectors.
EEV_9273-16-03 | CCD1 | 0 |  9.883090E-1  | GMOS-N | SDSU II CCD | GMOS + Red1             | SPEC | RELATIVE
EEV_9273-16-03 | CCD1 | 1 | -1.390254E-6  | GMOS-N | SDSU II CCD | GMOS + Red1             | SPEC | RELATIVE
EEV_9273-16-03 | CCD1 | 2 |  5.282149E-9  | GMOS-N | SDSU II CCD | GMOS + Red1             | SPEC | RELATIVE
EEV_9273-16-03 | CCD1 | 3 | -6.847360E-13 | GMOS-N | SDSU II CCD | GMOS + Red1             | SPEC | RELATIVE
EEV_9273-20-04 | CCD2 | 0 |  1            | GMOS-N | SDSU II CCD | GMOS + Red1             | SPEC | RELATIVE
EEV_9273-20-04 | CCD2 | 1 |  1            | GMOS-N | SDSU II CCD | GMOS + Red1             | SPEC | RELATIVE
EEV_9273-20-04 | CCD2 | 2 |  1            | GMOS-N | SDSU II CCD | GMOS + Red1             | SPEC | RELATIVE
EEV_9273-20-04 | CCD2 | 3 |  1            | GMOS-N | SDSU II CCD | GMOS + Red1             | SPEC | RELATIVE
EEV_9273-20-03 | CCD3 | 0 |  9.699E-1     | GMOS-N | SDSU II CCD | GMOS + Red1             | SPEC | RELATIVE
EEV_9273-20-03 | CCD3 | 1 |  1.330E-5     | GMOS-N | SDSU II CCD | GMOS + Red1             | SPEC | RELATIVE
EEV_9273-20-03 | CCD3 | 2 | -2.082E-9     | GMOS-N | SDSU II CCD | GMOS + Red1             | SPEC | RELATIVE
EEV_9273-20-03 | CCD3 | 3 |  1.206E-13    | GMOS-N | SDSU II CCD | GMOS + Red1             | SPEC | RELATIVE

# Hamamatsu CCDs. # 20170705 JS
BI13-20-4k-1 | CCD1 | 0 | -2.45481760e+03     | GMOS-N | S10892-N | GMOS-N + Hamamatsu | SPEC | RELATIVE 
BI13-20-4k-1 | CCD1 | 1 |  3.24130657e+00     | GMOS-N | S10892-N | GMOS-N + Hamamatsu | SPEC | RELATIVE 
BI13-20-4k-1 | CCD1 | 2 | -1.87380500e-03     | GMOS-N | S10892-N | GMOS-N + Hamamatsu | SPEC | RELATIVE 
BI13-20-4k-1 | CCD1 | 3 |  6.23494400e-07     | GMOS-N | S10892-N | GMOS-N + Hamamatsu | SPEC | RELATIVE 
BI13-20-4k-1 | CCD1 | 4 | -1.31713482e-10     | GMOS-N | S10892-N | GMOS-N + Hamamatsu | SPEC | RELATIVE 
BI13-20-4k-1 | CCD1 | 5 |  1.83308885e-14     | GMOS-N | S10892-N | GMOS-N + Hamamatsu | SPEC | RELATIVE
BI13-20-4k-1 | CCD1 | 6 | -1.68145852e-18     | GMOS-N | S10892-N | GMOS-N + Hamamatsu | SPEC | RELATIVE
BI13-20-4k-1 | CCD1 | 7 |  9.80603592e-23     | GMOS-N | S10892-N | GMOS-N + Hamamatsu | SPEC | RELATIVE
BI13-20-4k-1 | CCD1 | 8 | -3.30016761e-27     | GMOS-N | S10892-N | GMOS-N + Hamamatsu | SPEC | RELATIVE
BI13-20-4k-1 | CCD1 | 9 |  4.88466076e-32     | GMOS-N | S10892-N | GMOS-N + Hamamatsu | SPEC | RELATIVE
BI12-09-4k-2 | CCD2 | 0 |  1                  | GMOS-N | S10892-N | GMOS-N + Hamamatsu | SPEC | RELATIVE 
BI12-09-4k-2 | CCD2 | 1 |  1                  | GMOS-N | S10892-N | GMOS-N + Hamamatsu | SPEC | RELATIVE 
BI12-09-4k-2 | CCD2 | 2 |  1                  | GMOS-N | S10892-N | GMOS-N + Hamamatsu | SPEC | RELATIVE 
