4046.56  4040.0 4060.0 15.0 Hg4047
4358.34  4350.0 4370.0 15.0 Hg4358
5460.74  5450.0 5470.0 15.0 Hg5461
5577.338 5570.0 5590.0 10.0 O5577
5769.60  5760.0 5780.0 15.0 Hg5770
5790.66  5780.0 5800.0 15.0 Hg5791
6300.304 6290.0 6310.0 10.0 O6300
5889.953 5880.0 5900.0 10.0 Na5890
6363.776 6355.0 6375.0 10.0 O6364
6498.729 6490.0 6510.0 10.0 OH6499 OH61Q115
6863.955 6855.0 6870.0 10.0 OH6864 OH72Q115
6923.220 6915.0 6930.0 10.0 OH6923 OH72P235
7276.405 7270.0 7280.0 10.0 OH7276 OH83Q115
7316.282 7310.0 7322.0 10.0 OH7316 OH83P125
7340.885 7330.0 7350.0 10.0 OH7341 OH83P135
7750.640 7740.0 7760.0 10.0 OH7751 OH94Q115
7794.112 7790.0 7800.0 10.0 OH7794 OH94P125
7821.503 7814.0 7828.0 10.0 OH7822 OH94P135
7913.708 7906.0 7921.0 10.0 OH7914 OH51Q115
7964.650 7960.0 7970.0 10.0 OH7965 OH51P125
7993.332 7985.0 8000.0 10.0 OH7993 OH51P135
8014.059 8009.0 8019.0 10.0 OH8014 OH51P235
8344.602 8339.0 8349.0 10.0 OH8345 OH62Q115
8399.170 8390.0 8410.0 10.0 OH8399 OH62P125
8415.231 8410.0 8420.0 10.0 OH8415 OH62P225
8430.174 8420.0 8440.0 10.0 OH8430 OH62P135
