 Full     Lambda       e     Intensity   preLambda   ID    
          0.1nm      0.1nm                 0.1nm           

    1  3785.650454  0.000149      7273  3785.649743  NoID  
    2  3786.675812  0.000129     11987  3786.675314  ThII  
    3  3787.458325  0.000120     24284  3787.457347  ArII  
    4  3788.714137  0.000160      3050  3788.714472  ThI   
    5  3789.009459  0.000170      2584  3789.010941  ThI   
    6  3789.435335  0.000157      2707  3789.435169  ThII  
    7  3790.185751  0.000527      6700               ?     
    8  3790.243720  0.000114    126158  3790.243943  ThI   
    9  3791.160081  0.000128      4572  3791.158240  NoID  
   10  3791.343954  0.000146      2491  3791.344838  ThI   
   11  3791.431959  0.000119     16543  3791.432308  NoID  
   12  3791.496302  0.001561      1711               ?     
   13  3791.871484  0.000113     68571  3791.871327  ThI   
   14  3792.296894  0.000140      2497  3792.297101  ThI   
   15  3792.373700  0.000149      2076  3792.373871  ThII  
   16  3792.594893  0.000126      4127  3792.594391  ThI   
   17  3793.807442  0.000114     13282  3793.806899  ThI   
   18  3794.893018  0.000118      4508  3794.893246  ThI   
   19  3795.228217  0.000125      2699  3795.228593  ThII  
   20  3795.775429  0.000112     11036  3795.775842  ThI   
   21  3796.417421  0.001787      2319               ?     
   22  3796.462640  0.000322     15398  3796.463455  ThII  
   23  3797.130165  0.000147      1179  3797.131160  NoID  
   24  3797.670969  0.000109     20252  3797.670939  ArII  
   25  3797.763931  0.000606      5114  3797.765133  ThI   
   26  3797.809594  0.000392      8478  3797.810076  ThI   
   27  3798.027250  0.000934      1926  3798.030160  NoID  
   28  3798.078311  0.001011      1556  3798.078917  NoID  
   29  3798.532598  0.000137      1233  3798.532622  ThII  
   30  3799.181895  0.000108     25835  3799.182103  ThI   
   31  3801.277275  0.000107     11858  3801.276921  ThI   
   32  3801.451328  0.000118      1954  3801.451265  ThII  
   33  3801.667777  0.000131      1132  3801.668679  ThII  
   34  3802.522227  0.000105     25856  3802.522475  ThI   
   35  3802.650891  0.000105     17570  3802.650804  ThI   
   36  3802.996752  0.001657       566  3802.997084  ThII  
   37  3803.049740  0.000920       979  3803.047647  NoID  
   38  3803.499251  0.000107      5237  3803.500326  ThI   
   39  3803.800762  0.000135      1040  3803.802991  NoID  
   40  3803.943876  0.000105      9032  3803.944213  ThI   
   41  3804.154968  0.000103    513576  3804.154720  ThI   
   42  3804.252224  0.000103    107479  3804.251740  ArII  
   43  3804.690234  0.000123      1357  3804.689955  NoID  
   44  3804.919155  0.000105      7393  3804.919046  ThI   
   45  3805.064523  0.000103     24074  3805.063956  ThI   
   46  3805.207813  0.000105      6972  3805.207631  ThI   
   47  3805.778642  0.000107      3816  3805.778720  ThI   
   48  3806.309258  0.000124      1305  3806.307371  ThI   
   49  3806.394479  0.000997      6628  3806.394562  NoID  
   50  3806.425860  0.007560      1328               ?     
   51  3806.487235  0.000120      1947  3806.487538  NoID  
   52  3806.900514  0.000372      4706  3806.900239  ThII  
   53  3806.946345  0.000635      2289  3806.944905  ThI   
   54  3807.051285  0.000118      1587  3807.049445  ThII  
   55  3807.233910  0.000114      1842  3807.233537  ThI   
   56  3808.353480  0.000167      6533  3808.353289  ThI   
   57  3808.955123  0.000165     12694  3808.955397  ThII  
   58  3809.209907  0.000112      1975  3809.210584  ThII  
   59  3809.656594  0.000306     14894  3809.655500  ArII  
   60  3809.697151  0.000500      7212  3809.696037  ThI   
   61  3810.537544  0.000162    101598  3810.537064  ArII  
   62  3810.916794  0.000108      2488  3810.916456  ThII  
   63  3812.077207  0.000154     28936  3812.077044  ThI   
   64  3813.479982  0.000153      6425  3813.479470  ThI   
   65  3814.150199  0.000149     15807  3814.149857  ThII  
   66  3814.748947  0.000169      1621  3814.748344  ThII  
   67  3814.897493  0.000147     16778  3814.897583  ThI   
   68  3815.105240  0.000157       924  3815.104530  NoID  
   69  3816.109523  0.000164      1468  3816.109644  ThII  
   70  3816.648334  0.000151     16088  3816.648904  ThI   
   71  3816.922758  0.000157      6013               ?     
   72  3817.249218  0.000101      4692  3817.249705  NoID  
   73  3818.199762  0.000127      2522  3818.200259  NoID  
   74  3819.768990  0.000110     58810  3819.769246  ThI   
   75  3820.099139  0.000112     10081  3820.099095  ArII  
   76  3820.196505  0.000120      2972  3820.196595  ThI   
   77  3821.185538  0.000139      1293               ?     
   78  3821.508904  0.000231     16003  3821.509811  Contam
   79  3821.557221  0.001162      2143               ?     
   80  3821.762343  0.000139      1120  3821.762301  NoID  
   81  3821.876700  0.000109     39053  3821.876931  ThI   
   82  3822.270909  0.000158       846               ?     
   83  3822.515316  0.000111      7361  3822.515221  ThII  
   84  3823.794173  0.000114      2979  3823.794882  ThI   
   85  3823.947346  0.000127      6884  3823.946775  NoID  
   86  3824.002299  0.001532       749  3824.002210  NoID  
   87  3824.152211  0.000107     25397  3824.152526  ThI   
   88  3824.336318  0.000116      2735               ?     
   89  3824.408112  0.000125      1568  3824.406740  ThII  
